model,task,dataset,language,metric,value
angle$cohere$mixed-bread,BitextMining,BUCC,,f1,
angle$cohere$mixed-bread,BitextMining,Tatoeba,,f1,
angle$cohere$mixed-bread,Classification,AmazonCounterfactualClassification,en,accuracy,0.7591044776119402
angle$cohere$mixed-bread,Classification,AmazonCounterfactualClassification,de,accuracy,
angle$cohere$mixed-bread,Classification,AmazonCounterfactualClassification,de,accuracy,
angle$cohere$mixed-bread,Classification,AmazonCounterfactualClassification,en-ext,accuracy,
angle$cohere$mixed-bread,Classification,AmazonCounterfactualClassification,en-ext,accuracy,
angle$cohere$mixed-bread,Classification,AmazonCounterfactualClassification,ja,accuracy,
angle$cohere$mixed-bread,Classification,AmazonCounterfactualClassification,ja,accuracy,
angle$cohere$mixed-bread,Classification,AmazonPolarityClassification,,accuracy,
angle$cohere$mixed-bread,Classification,AmazonReviewsClassification,en,accuracy,0.52954
angle$cohere$mixed-bread,Classification,AmazonReviewsClassification,de,accuracy,
angle$cohere$mixed-bread,Classification,AmazonReviewsClassification,de,accuracy,
angle$cohere$mixed-bread,Classification,AmazonReviewsClassification,es,accuracy,
angle$cohere$mixed-bread,Classification,AmazonReviewsClassification,es,accuracy,
angle$cohere$mixed-bread,Classification,AmazonReviewsClassification,fr,accuracy,
angle$cohere$mixed-bread,Classification,AmazonReviewsClassification,fr,accuracy,
angle$cohere$mixed-bread,Classification,AmazonReviewsClassification,ja,accuracy,
angle$cohere$mixed-bread,Classification,AmazonReviewsClassification,ja,accuracy,
angle$cohere$mixed-bread,Classification,AmazonReviewsClassification,zh,accuracy,
angle$cohere$mixed-bread,Classification,AmazonReviewsClassification,zh,accuracy,
angle$cohere$mixed-bread,Classification,Banking77Classification,en,accuracy,0.8514285714285714
angle$cohere$mixed-bread,Classification,EmotionClassification,en,accuracy,0.55605
angle$cohere$mixed-bread,Classification,ImdbClassification,en,accuracy,0.941508
angle$cohere$mixed-bread,Classification,MassiveIntentClassification,af,accuracy,
angle$cohere$mixed-bread,Classification,MassiveIntentClassification,af,accuracy,
angle$cohere$mixed-bread,Classification,MassiveIntentClassification,am,accuracy,
angle$cohere$mixed-bread,Classification,MassiveIntentClassification,am,accuracy,
angle$cohere$mixed-bread,Classification,MassiveIntentClassification,ar,accuracy,
angle$cohere$mixed-bread,Classification,MassiveIntentClassification,ar,accuracy,
angle$cohere$mixed-bread,Classification,MassiveIntentClassification,az,accuracy,
angle$cohere$mixed-bread,Classification,MassiveIntentClassification,az,accuracy,
angle$cohere$mixed-bread,Classification,MassiveIntentClassification,bn,accuracy,
