model,task,dataset,language,metric,value
angle$flag-embedding$gist$llmrails$voyage,BitextMining,BUCC,,f1,
angle$flag-embedding$gist$llmrails$voyage,BitextMining,Tatoeba,,f1,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonCounterfactualClassification,en,accuracy,0.7408955223880597
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonCounterfactualClassification,de,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonCounterfactualClassification,de,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonCounterfactualClassification,en-ext,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonCounterfactualClassification,en-ext,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonCounterfactualClassification,ja,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonCounterfactualClassification,ja,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonPolarityClassification,,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonReviewsClassification,en,accuracy,0.5061199999999999
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonReviewsClassification,de,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonReviewsClassification,de,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonReviewsClassification,es,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonReviewsClassification,es,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonReviewsClassification,fr,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonReviewsClassification,fr,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonReviewsClassification,ja,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonReviewsClassification,ja,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonReviewsClassification,zh,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,AmazonReviewsClassification,zh,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,Banking77Classification,en,accuracy,0.8528571428571429
angle$flag-embedding$gist$llmrails$voyage,Classification,EmotionClassification,en,accuracy,0.55715
angle$flag-embedding$gist$llmrails$voyage,Classification,ImdbClassification,en,accuracy,0.9355680000000002
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,af,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,af,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,am,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,am,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,ar,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,ar,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,az,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,az,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,bn,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,bn,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,cy,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,cy,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,da,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,da,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,de,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,de,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,el,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,el,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,en,accuracy,0.7390383322125084
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,es,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,es,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,fa,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,fa,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,fi,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,fi,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,fr,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,fr,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,he,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,he,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,hi,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,hi,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,hu,accuracy,
angle$flag-embedding$gist$llmrails$voyage,Classification,MassiveIntentClassification,hu,accuracy,
