model,task,dataset,language,metric,value
angle$flag-embedding$gist$voyage,BitextMining,BUCC,,f1,
angle$flag-embedding$gist$voyage,BitextMining,Tatoeba,,f1,
angle$flag-embedding$gist$voyage,Classification,AmazonCounterfactualClassification,en,accuracy,0.7408955223880598
angle$flag-embedding$gist$voyage,Classification,AmazonCounterfactualClassification,de,accuracy,
angle$flag-embedding$gist$voyage,Classification,AmazonCounterfactualClassification,de,accuracy,
angle$flag-embedding$gist$voyage,Classification,AmazonCounterfactualClassification,en-ext,accuracy,
angle$flag-embedding$gist$voyage,Classification,AmazonCounterfactualClassification,en-ext,accuracy,
angle$flag-embedding$gist$voyage,Classification,AmazonCounterfactualClassification,ja,accuracy,
angle$flag-embedding$gist$voyage,Classification,AmazonCounterfactualClassification,ja,accuracy,
angle$flag-embedding$gist$voyage,Classification,AmazonPolarityClassification,,accuracy,
angle$flag-embedding$gist$voyage,Classification,AmazonReviewsClassification,en,accuracy,0.507
angle$flag-embedding$gist$voyage,Classification,AmazonReviewsClassification,de,accuracy,
angle$flag-embedding$gist$voyage,Classification,AmazonReviewsClassification,de,accuracy,
angle$flag-embedding$gist$voyage,Classification,AmazonReviewsClassification,es,accuracy,
angle$flag-embedding$gist$voyage,Classification,AmazonReviewsClassification,es,accuracy,
angle$flag-embedding$gist$voyage,Classification,AmazonReviewsClassification,fr,accuracy,
angle$flag-embedding$gist$voyage,Classification,AmazonReviewsClassification,fr,accuracy,
angle$flag-embedding$gist$voyage,Classification,AmazonReviewsClassification,ja,accuracy,
angle$flag-embedding$gist$voyage,Classification,AmazonReviewsClassification,ja,accuracy,
angle$flag-embedding$gist$voyage,Classification,AmazonReviewsClassification,zh,accuracy,
angle$flag-embedding$gist$voyage,Classification,AmazonReviewsClassification,zh,accuracy,
angle$flag-embedding$gist$voyage,Classification,Banking77Classification,en,accuracy,0.8523376623376622
angle$flag-embedding$gist$voyage,Classification,EmotionClassification,en,accuracy,0.5574
angle$flag-embedding$gist$voyage,Classification,ImdbClassification,en,accuracy,0.9356120000000001
angle$flag-embedding$gist$voyage,Classification,MassiveIntentClassification,af,accuracy,
angle$flag-embedding$gist$voyage,Classification,MassiveIntentClassification,af,accuracy,
angle$flag-embedding$gist$voyage,Classification,MassiveIntentClassification,am,accuracy,
angle$flag-embedding$gist$voyage,Classification,MassiveIntentClassification,am,accuracy,
angle$flag-embedding$gist$voyage,Classification,MassiveIntentClassification,ar,accuracy,
angle$flag-embedding$gist$voyage,Classification,MassiveIntentClassification,ar,accuracy,
