model,task,dataset,language,metric,value
angle$gte-large$voyage,BitextMining,BUCC,,f1,
angle$gte-large$voyage,BitextMining,Tatoeba,,f1,
angle$gte-large$voyage,Classification,AmazonCounterfactualClassification,en,accuracy,0.7337313432835821
angle$gte-large$voyage,Classification,AmazonCounterfactualClassification,de,accuracy,
angle$gte-large$voyage,Classification,AmazonCounterfactualClassification,de,accuracy,
angle$gte-large$voyage,Classification,AmazonCounterfactualClassification,en-ext,accuracy,
angle$gte-large$voyage,Classification,AmazonCounterfactualClassification,en-ext,accuracy,
angle$gte-large$voyage,Classification,AmazonCounterfactualClassification,ja,accuracy,
angle$gte-large$voyage,Classification,AmazonCounterfactualClassification,ja,accuracy,
angle$gte-large$voyage,Classification,AmazonPolarityClassification,,accuracy,
angle$gte-large$voyage,Classification,AmazonReviewsClassification,en,accuracy,0.5086999999999999
angle$gte-large$voyage,Classification,AmazonReviewsClassification,de,accuracy,
angle$gte-large$voyage,Classification,AmazonReviewsClassification,de,accuracy,
angle$gte-large$voyage,Classification,AmazonReviewsClassification,es,accuracy,
angle$gte-large$voyage,Classification,AmazonReviewsClassification,es,accuracy,
angle$gte-large$voyage,Classification,AmazonReviewsClassification,fr,accuracy,
angle$gte-large$voyage,Classification,AmazonReviewsClassification,fr,accuracy,
angle$gte-large$voyage,Classification,AmazonReviewsClassification,ja,accuracy,
angle$gte-large$voyage,Classification,AmazonReviewsClassification,ja,accuracy,
angle$gte-large$voyage,Classification,AmazonReviewsClassification,zh,accuracy,
angle$gte-large$voyage,Classification,AmazonReviewsClassification,zh,accuracy,
angle$gte-large$voyage,Classification,Banking77Classification,en,accuracy,0.8426298701298702
angle$gte-large$voyage,Classification,EmotionClassification,en,accuracy,0.5439999999999999
angle$gte-large$voyage,Classification,ImdbClassification,en,accuracy,0.9348920000000002
angle$gte-large$voyage,Classification,MassiveIntentClassification,af,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,af,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,am,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,am,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,ar,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,ar,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,az,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,az,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,bn,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,bn,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,cy,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,cy,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,da,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,da,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,de,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,de,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,el,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,el,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,en,accuracy,0.7204102219233356
angle$gte-large$voyage,Classification,MassiveIntentClassification,es,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,es,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,fa,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,fa,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,fi,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,fi,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,fr,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,fr,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,he,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,he,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,hi,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,hi,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,hu,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,hu,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,hy,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,hy,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,id,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,id,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,is,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,is,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,it,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,it,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,ja,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,ja,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,jv,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,jv,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,ka,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,ka,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,km,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,km,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,kn,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,kn,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,ko,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,ko,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,lv,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,lv,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,ml,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,ml,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,mn,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,mn,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,ms,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,ms,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,my,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,my,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,nb,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,nb,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,nl,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,nl,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,pl,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,pl,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,pt,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,pt,accuracy,
angle$gte-large$voyage,Classification,MassiveIntentClassification,ro,accuracy,
