model,task,dataset,language,metric,value
angle$mixed-bread,BitextMining,BUCC,,f1,
angle$mixed-bread,BitextMining,Tatoeba,,f1,
angle$mixed-bread,Classification,AmazonCounterfactualClassification,en,accuracy,0.723134328358209
angle$mixed-bread,Classification,AmazonCounterfactualClassification,de,accuracy,
angle$mixed-bread,Classification,AmazonCounterfactualClassification,de,accuracy,
angle$mixed-bread,Classification,AmazonCounterfactualClassification,en-ext,accuracy,
angle$mixed-bread,Classification,AmazonCounterfactualClassification,en-ext,accuracy,
angle$mixed-bread,Classification,AmazonCounterfactualClassification,ja,accuracy,
angle$mixed-bread,Classification,AmazonCounterfactualClassification,ja,accuracy,
angle$mixed-bread,Classification,AmazonPolarityClassification,,accuracy,
angle$mixed-bread,Classification,AmazonReviewsClassification,en,accuracy,0.5077600000000001
angle$mixed-bread,Classification,AmazonReviewsClassification,de,accuracy,
angle$mixed-bread,Classification,AmazonReviewsClassification,de,accuracy,
angle$mixed-bread,Classification,AmazonReviewsClassification,es,accuracy,
angle$mixed-bread,Classification,AmazonReviewsClassification,es,accuracy,
angle$mixed-bread,Classification,AmazonReviewsClassification,fr,accuracy,
angle$mixed-bread,Classification,AmazonReviewsClassification,fr,accuracy,
angle$mixed-bread,Classification,AmazonReviewsClassification,ja,accuracy,
angle$mixed-bread,Classification,AmazonReviewsClassification,ja,accuracy,
angle$mixed-bread,Classification,AmazonReviewsClassification,zh,accuracy,
angle$mixed-bread,Classification,AmazonReviewsClassification,zh,accuracy,
angle$mixed-bread,Classification,Banking77Classification,en,accuracy,0.8517207792207794
angle$mixed-bread,Classification,EmotionClassification,en,accuracy,0.5481999999999999
angle$mixed-bread,Classification,ImdbClassification,en,accuracy,0.9362480000000002
angle$mixed-bread,Classification,MassiveIntentClassification,af,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,af,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,am,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,am,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,ar,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,ar,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,az,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,az,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,bn,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,bn,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,cy,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,cy,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,da,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,da,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,de,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,de,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,el,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,el,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,en,accuracy,0.732044384667115
angle$mixed-bread,Classification,MassiveIntentClassification,es,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,es,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,fa,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,fa,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,fi,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,fi,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,fr,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,fr,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,he,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,he,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,hi,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,hi,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,hu,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,hu,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,hy,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,hy,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,id,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,id,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,is,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,is,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,it,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,it,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,ja,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,ja,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,jv,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,jv,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,ka,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,ka,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,km,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,km,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,kn,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,kn,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,ko,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,ko,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,lv,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,lv,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,ml,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,ml,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,mn,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,mn,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,ms,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,ms,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,my,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,my,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,nb,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,nb,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,nl,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,nl,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,pl,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,pl,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,pt,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,pt,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,ro,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,ro,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,ru,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,ru,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,sl,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,sl,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,sq,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,sq,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,sv,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,sv,accuracy,
angle$mixed-bread,Classification,MassiveIntentClassification,sw,accuracy,
