model,task,dataset,language,metric,value
angle$voyage,BitextMining,BUCC,,f1,
angle$voyage,BitextMining,Tatoeba,,f1,
angle$voyage,Classification,AmazonCounterfactualClassification,en,accuracy,0.7349253731343283
angle$voyage,Classification,AmazonCounterfactualClassification,de,accuracy,
angle$voyage,Classification,AmazonCounterfactualClassification,de,accuracy,
angle$voyage,Classification,AmazonCounterfactualClassification,en-ext,accuracy,
angle$voyage,Classification,AmazonCounterfactualClassification,en-ext,accuracy,
angle$voyage,Classification,AmazonCounterfactualClassification,ja,accuracy,
angle$voyage,Classification,AmazonCounterfactualClassification,ja,accuracy,
angle$voyage,Classification,AmazonPolarityClassification,,accuracy,
angle$voyage,Classification,AmazonReviewsClassification,en,accuracy,0.50146
angle$voyage,Classification,AmazonReviewsClassification,de,accuracy,
angle$voyage,Classification,AmazonReviewsClassification,de,accuracy,
angle$voyage,Classification,AmazonReviewsClassification,es,accuracy,
angle$voyage,Classification,AmazonReviewsClassification,es,accuracy,
angle$voyage,Classification,AmazonReviewsClassification,fr,accuracy,
angle$voyage,Classification,AmazonReviewsClassification,fr,accuracy,
angle$voyage,Classification,AmazonReviewsClassification,ja,accuracy,
angle$voyage,Classification,AmazonReviewsClassification,ja,accuracy,
angle$voyage,Classification,AmazonReviewsClassification,zh,accuracy,
angle$voyage,Classification,AmazonReviewsClassification,zh,accuracy,
angle$voyage,Classification,Banking77Classification,en,accuracy,0.8415909090909091
angle$voyage,Classification,EmotionClassification,en,accuracy,0.5453
angle$voyage,Classification,ImdbClassification,en,accuracy,0.935764
angle$voyage,Classification,MassiveIntentClassification,af,accuracy,
angle$voyage,Classification,MassiveIntentClassification,af,accuracy,
angle$voyage,Classification,MassiveIntentClassification,am,accuracy,
angle$voyage,Classification,MassiveIntentClassification,am,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ar,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ar,accuracy,
angle$voyage,Classification,MassiveIntentClassification,az,accuracy,
angle$voyage,Classification,MassiveIntentClassification,az,accuracy,
angle$voyage,Classification,MassiveIntentClassification,bn,accuracy,
angle$voyage,Classification,MassiveIntentClassification,bn,accuracy,
angle$voyage,Classification,MassiveIntentClassification,cy,accuracy,
angle$voyage,Classification,MassiveIntentClassification,cy,accuracy,
angle$voyage,Classification,MassiveIntentClassification,da,accuracy,
angle$voyage,Classification,MassiveIntentClassification,da,accuracy,
angle$voyage,Classification,MassiveIntentClassification,de,accuracy,
angle$voyage,Classification,MassiveIntentClassification,de,accuracy,
angle$voyage,Classification,MassiveIntentClassification,el,accuracy,
angle$voyage,Classification,MassiveIntentClassification,el,accuracy,
angle$voyage,Classification,MassiveIntentClassification,en,accuracy,0.7190316072629455
angle$voyage,Classification,MassiveIntentClassification,es,accuracy,
angle$voyage,Classification,MassiveIntentClassification,es,accuracy,
angle$voyage,Classification,MassiveIntentClassification,fa,accuracy,
angle$voyage,Classification,MassiveIntentClassification,fa,accuracy,
angle$voyage,Classification,MassiveIntentClassification,fi,accuracy,
angle$voyage,Classification,MassiveIntentClassification,fi,accuracy,
angle$voyage,Classification,MassiveIntentClassification,fr,accuracy,
angle$voyage,Classification,MassiveIntentClassification,fr,accuracy,
angle$voyage,Classification,MassiveIntentClassification,he,accuracy,
angle$voyage,Classification,MassiveIntentClassification,he,accuracy,
angle$voyage,Classification,MassiveIntentClassification,hi,accuracy,
angle$voyage,Classification,MassiveIntentClassification,hi,accuracy,
angle$voyage,Classification,MassiveIntentClassification,hu,accuracy,
angle$voyage,Classification,MassiveIntentClassification,hu,accuracy,
angle$voyage,Classification,MassiveIntentClassification,hy,accuracy,
angle$voyage,Classification,MassiveIntentClassification,hy,accuracy,
angle$voyage,Classification,MassiveIntentClassification,id,accuracy,
angle$voyage,Classification,MassiveIntentClassification,id,accuracy,
angle$voyage,Classification,MassiveIntentClassification,is,accuracy,
angle$voyage,Classification,MassiveIntentClassification,is,accuracy,
angle$voyage,Classification,MassiveIntentClassification,it,accuracy,
angle$voyage,Classification,MassiveIntentClassification,it,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ja,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ja,accuracy,
angle$voyage,Classification,MassiveIntentClassification,jv,accuracy,
angle$voyage,Classification,MassiveIntentClassification,jv,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ka,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ka,accuracy,
angle$voyage,Classification,MassiveIntentClassification,km,accuracy,
angle$voyage,Classification,MassiveIntentClassification,km,accuracy,
angle$voyage,Classification,MassiveIntentClassification,kn,accuracy,
angle$voyage,Classification,MassiveIntentClassification,kn,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ko,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ko,accuracy,
angle$voyage,Classification,MassiveIntentClassification,lv,accuracy,
angle$voyage,Classification,MassiveIntentClassification,lv,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ml,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ml,accuracy,
angle$voyage,Classification,MassiveIntentClassification,mn,accuracy,
angle$voyage,Classification,MassiveIntentClassification,mn,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ms,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ms,accuracy,
angle$voyage,Classification,MassiveIntentClassification,my,accuracy,
angle$voyage,Classification,MassiveIntentClassification,my,accuracy,
angle$voyage,Classification,MassiveIntentClassification,nb,accuracy,
angle$voyage,Classification,MassiveIntentClassification,nb,accuracy,
angle$voyage,Classification,MassiveIntentClassification,nl,accuracy,
angle$voyage,Classification,MassiveIntentClassification,nl,accuracy,
angle$voyage,Classification,MassiveIntentClassification,pl,accuracy,
angle$voyage,Classification,MassiveIntentClassification,pl,accuracy,
angle$voyage,Classification,MassiveIntentClassification,pt,accuracy,
angle$voyage,Classification,MassiveIntentClassification,pt,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ro,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ro,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ru,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ru,accuracy,
angle$voyage,Classification,MassiveIntentClassification,sl,accuracy,
angle$voyage,Classification,MassiveIntentClassification,sl,accuracy,
angle$voyage,Classification,MassiveIntentClassification,sq,accuracy,
angle$voyage,Classification,MassiveIntentClassification,sq,accuracy,
angle$voyage,Classification,MassiveIntentClassification,sv,accuracy,
angle$voyage,Classification,MassiveIntentClassification,sv,accuracy,
angle$voyage,Classification,MassiveIntentClassification,sw,accuracy,
angle$voyage,Classification,MassiveIntentClassification,sw,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ta,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ta,accuracy,
angle$voyage,Classification,MassiveIntentClassification,te,accuracy,
angle$voyage,Classification,MassiveIntentClassification,te,accuracy,
angle$voyage,Classification,MassiveIntentClassification,th,accuracy,
angle$voyage,Classification,MassiveIntentClassification,th,accuracy,
angle$voyage,Classification,MassiveIntentClassification,tl,accuracy,
angle$voyage,Classification,MassiveIntentClassification,tl,accuracy,
angle$voyage,Classification,MassiveIntentClassification,tr,accuracy,
angle$voyage,Classification,MassiveIntentClassification,tr,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ur,accuracy,
angle$voyage,Classification,MassiveIntentClassification,ur,accuracy,
angle$voyage,Classification,MassiveIntentClassification,vi,accuracy,
angle$voyage,Classification,MassiveIntentClassification,vi,accuracy,
angle$voyage,Classification,MassiveIntentClassification,zh-CN,accuracy,
angle$voyage,Classification,MassiveIntentClassification,zh-CN,accuracy,
angle$voyage,Classification,MassiveIntentClassification,zh-TW,accuracy,
angle$voyage,Classification,MassiveIntentClassification,zh-TW,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,af,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,af,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,am,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,am,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,ar,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,ar,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,az,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,az,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,bn,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,bn,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,cy,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,cy,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,da,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,da,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,de,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,de,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,el,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,el,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,en,accuracy,0.7696368527236046
angle$voyage,Classification,MassiveScenarioClassification,es,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,es,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,fa,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,fa,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,fi,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,fi,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,fr,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,fr,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,he,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,he,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,hi,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,hi,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,hu,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,hu,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,hy,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,hy,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,id,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,id,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,is,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,is,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,it,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,it,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,ja,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,ja,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,jv,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,jv,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,ka,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,ka,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,km,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,km,accuracy,
angle$voyage,Classification,MassiveScenarioClassification,kn,accuracy,
