model,task,dataset,language,metric,value
cohere$flag-embedding$voyage,BitextMining,BUCC,,f1,
cohere$flag-embedding$voyage,BitextMining,Tatoeba,,f1,
cohere$flag-embedding$voyage,Classification,AmazonCounterfactualClassification,en,accuracy,0.7932835820895523
cohere$flag-embedding$voyage,Classification,AmazonCounterfactualClassification,de,accuracy,
cohere$flag-embedding$voyage,Classification,AmazonCounterfactualClassification,de,accuracy,
cohere$flag-embedding$voyage,Classification,AmazonCounterfactualClassification,en-ext,accuracy,
cohere$flag-embedding$voyage,Classification,AmazonCounterfactualClassification,en-ext,accuracy,
cohere$flag-embedding$voyage,Classification,AmazonCounterfactualClassification,ja,accuracy,
cohere$flag-embedding$voyage,Classification,AmazonCounterfactualClassification,ja,accuracy,
cohere$flag-embedding$voyage,Classification,AmazonPolarityClassification,,accuracy,
cohere$flag-embedding$voyage,Classification,AmazonReviewsClassification,en,accuracy,0.5368800000000001
cohere$flag-embedding$voyage,Classification,AmazonReviewsClassification,de,accuracy,
cohere$flag-embedding$voyage,Classification,AmazonReviewsClassification,de,accuracy,
cohere$flag-embedding$voyage,Classification,AmazonReviewsClassification,es,accuracy,
cohere$flag-embedding$voyage,Classification,AmazonReviewsClassification,es,accuracy,
cohere$flag-embedding$voyage,Classification,AmazonReviewsClassification,fr,accuracy,
cohere$flag-embedding$voyage,Classification,AmazonReviewsClassification,fr,accuracy,
cohere$flag-embedding$voyage,Classification,AmazonReviewsClassification,ja,accuracy,
cohere$flag-embedding$voyage,Classification,AmazonReviewsClassification,ja,accuracy,
cohere$flag-embedding$voyage,Classification,AmazonReviewsClassification,zh,accuracy,
cohere$flag-embedding$voyage,Classification,AmazonReviewsClassification,zh,accuracy,
cohere$flag-embedding$voyage,Classification,Banking77Classification,en,accuracy,0.8342207792207791
cohere$flag-embedding$voyage,Classification,EmotionClassification,en,accuracy,0.5461500000000001
cohere$flag-embedding$voyage,Classification,ImdbClassification,en,accuracy,0.944328
cohere$flag-embedding$voyage,Classification,MassiveIntentClassification,af,accuracy,
cohere$flag-embedding$voyage,Classification,MassiveIntentClassification,af,accuracy,
cohere$flag-embedding$voyage,Classification,MassiveIntentClassification,am,accuracy,
cohere$flag-embedding$voyage,Classification,MassiveIntentClassification,am,accuracy,
cohere$flag-embedding$voyage,Classification,MassiveIntentClassification,ar,accuracy,
cohere$flag-embedding$voyage,Classification,MassiveIntentClassification,ar,accuracy,
cohere$flag-embedding$voyage,Classification,MassiveIntentClassification,az,accuracy,
cohere$flag-embedding$voyage,Classification,MassiveIntentClassification,az,accuracy,
