model,task,dataset,language,metric,value
cohere$llmrails$mixed-bread,BitextMining,BUCC,,f1,
cohere$llmrails$mixed-bread,BitextMining,Tatoeba,,f1,
cohere$llmrails$mixed-bread,Classification,AmazonCounterfactualClassification,en,accuracy,0.7844776119402985
cohere$llmrails$mixed-bread,Classification,AmazonCounterfactualClassification,de,accuracy,
cohere$llmrails$mixed-bread,Classification,AmazonCounterfactualClassification,de,accuracy,
cohere$llmrails$mixed-bread,Classification,AmazonCounterfactualClassification,en-ext,accuracy,
cohere$llmrails$mixed-bread,Classification,AmazonCounterfactualClassification,en-ext,accuracy,
cohere$llmrails$mixed-bread,Classification,AmazonCounterfactualClassification,ja,accuracy,
cohere$llmrails$mixed-bread,Classification,AmazonCounterfactualClassification,ja,accuracy,
cohere$llmrails$mixed-bread,Classification,AmazonPolarityClassification,,accuracy,
cohere$llmrails$mixed-bread,Classification,AmazonReviewsClassification,en,accuracy,0.53876
cohere$llmrails$mixed-bread,Classification,AmazonReviewsClassification,de,accuracy,
cohere$llmrails$mixed-bread,Classification,AmazonReviewsClassification,de,accuracy,
cohere$llmrails$mixed-bread,Classification,AmazonReviewsClassification,es,accuracy,
cohere$llmrails$mixed-bread,Classification,AmazonReviewsClassification,es,accuracy,
cohere$llmrails$mixed-bread,Classification,AmazonReviewsClassification,fr,accuracy,
cohere$llmrails$mixed-bread,Classification,AmazonReviewsClassification,fr,accuracy,
cohere$llmrails$mixed-bread,Classification,AmazonReviewsClassification,ja,accuracy,
cohere$llmrails$mixed-bread,Classification,AmazonReviewsClassification,ja,accuracy,
cohere$llmrails$mixed-bread,Classification,AmazonReviewsClassification,zh,accuracy,
cohere$llmrails$mixed-bread,Classification,AmazonReviewsClassification,zh,accuracy,
cohere$llmrails$mixed-bread,Classification,Banking77Classification,en,accuracy,0.8451623376623377
cohere$llmrails$mixed-bread,Classification,EmotionClassification,en,accuracy,0.5527
cohere$llmrails$mixed-bread,Classification,ImdbClassification,en,accuracy,0.944332
cohere$llmrails$mixed-bread,Classification,MassiveIntentClassification,af,accuracy,
cohere$llmrails$mixed-bread,Classification,MassiveIntentClassification,af,accuracy,
cohere$llmrails$mixed-bread,Classification,MassiveIntentClassification,am,accuracy,
cohere$llmrails$mixed-bread,Classification,MassiveIntentClassification,am,accuracy,
cohere$llmrails$mixed-bread,Classification,MassiveIntentClassification,ar,accuracy,
cohere$llmrails$mixed-bread,Classification,MassiveIntentClassification,ar,accuracy,
cohere$llmrails$mixed-bread,Classification,MassiveIntentClassification,az,accuracy,
cohere$llmrails$mixed-bread,Classification,MassiveIntentClassification,az,accuracy,
cohere$llmrails$mixed-bread,Classification,MassiveIntentClassification,bn,accuracy,
